LB	GA	TS	PPSO	DGWO	KBACO	HGNN	DRL	HGA-VNS	GOI-WOA
36	44	42	40	40	39	52	44	40	39
24	38	32	29	29	29	34	31	26	26
204	225	211	204	204	204	212	211	204	204
48	88	81	66	65	65	73	78	60	60
168	195	186	175	175	173	182	183	173	173
33	83	86	77	79	67	90	74	61	62
133	178	157	145	149	144	199	156	140	139
523	542	523	523	523	523	528	524	523	523
299	380	369	320	325	311	340	326	307	307
165	311	296	239	253	229	263	241	214	211
